user_id,event_timestamp,age,income,session_length,page_views,outcome
1,2024-01-01,25,50000,300,10,1
2,2024-01-01,30,60000,250,8,0
3,2024-01-01,35,75000,400,15,1
4,2024-01-01,28,55000,200,5,0
5,2024-01-01,32,65000,350,12,1
6,2024-01-02,29,58000,280,9,0
7,2024-01-02,31,62000,320,11,1
8,2024-01-02,26,52000,240,7,0
9,2024-01-02,33,68000,380,14,1
10,2024-01-02,27,54000,220,6,0
11,2024-01-03,34,70000,360,13,1
12,2024-01-03,24,48000,180,4,0
13,2024-01-03,36,72000,420,16,1
14,2024-01-03,30,60000,300,10,0
15,2024-01-03,28,56000,260,8,1
